Band-Signatur,Anzahl
Niederhasli,E III 79.3,1101
Stäfa,E III 115.5,204
Stäfa,E III 115.4,1845
Stäfa,E III 115.3,959
Stäfa,E III 115.2,264
Wülflingen,TAI 1.732; StadtA Winterthur WJB 2,766
Niederhasli,E III 79.4,265
Laufen,E III 68.1,1400
Laufen,E III 68.5,91
Laufen,E III 68.4,1480
Uster,E III 129.3,884
Uster,E III 129.2,1630
Uster,E III 129.1,673
Uster,E III 129.4,1279
Hombrechtikon,E III 57.2,350
Hombrechtikon,E III 57.3,953
Hombrechtikon,E III 57.1,443
Hombrechtikon,E III 57.4,437
Wipkingen,TAI 1.824; StadtAZH VIII.C. 89.,1373
Bäretswil,E III 10.3,1116
Bäretswil,E III 10.1,1354
Predigern,TAI 1.769 (Teil 1); StadtAZH VIII.C. 35.,2064
Wetzikon,E III 139.1,883
Egg,E III 31.1,2223
Egg,E III 31.2,1025
Wetzikon,E III 139.2,702
Grüningen,E III 46.1,1573
Bülach,E III 21.3,2255
Bülach,E III 21.2,1102
Bülach,E III 21.1,890
Bülach,E III 21.6,152
Seuzach,E III 112.1,570
Steinmaur,E III 118.2,456
Steinmaur,E III 118.1,1304
Trüllikon,E III 123.5,188
Trüllikon,E III 123.1,1074
Trüllikon,E III 123.3,20
Trüllikon,E III 123.2,1047
Grossmünster,TAI 1.740 (Teil 2); StadtAZH VIII.C. 6.,5352
Grossmünster,TAI 1.740 (Teil 1); StadtAZH VIII.C. 6.,3190
Schönenberg,E III 106.1,779
Schönenberg,E III 106.2,285
Veltheim,TAI 1.722; StadtA Winterthur VJB 2,732
Bachs,E III 9.1,168
Männedorf,E III 71.2,1004
Veltheim,TAI 1.721; StadtA Winterthur VJB 1,219
Hirzel,E III 53.1,1226
Hirzel,E III 53.2,666
Wald,E III 133.2,156
Wald,E III 133.3,940
Wald,E III 133.1,465
Wald,E III 133.4,1476
Zürich,E III 149.10,16
Birmensdorf,E III 15.2,1079
Birmensdorf,E III 15.3,610
Wollishofen,TAI 1.846 (Teil 2); StadtAZH VIII.C. 110.,382
Birmensdorf,E III 15.1,239
Dällikon,E III 23.1,724
Töss,TAI 1.719; StadtA Winterthur TJB 2,782
Dinhard,E III 27.2,867
Dinhard,E III 27.3,305
Dinhard,E III 27.1,154
Neftenbach,E III 78.1,582
Neftenbach,E III 78.3,456
Neftenbach,E III 78.2,1397
Grossmünster,TAI 1.735 (Teil 2); StadtAZH VIII.C. 1.,3231
Grossmünster,TAI 1.741 (Teil 2); StadtAZH VIII.C. 7.,3405
Flaach,E III 42.4,366
Flaach,E III 42.3,773
Flaach,E III 42.2,484
Flaach,E III 42.1,196
Otelfingen,E III 87.2,1252
Otelfingen,E III 87.3,143
Otelfingen,E III 87.1,217
Seebach,TAI 1.880; StadtAZH VIII.C. 184.,435
Wädenswil,E III 132.1,854
Kilchberg,E III 62.3,857
Wädenswil,E III 132.3,1548
Kilchberg,E III 62.1,1052
Wädenswil,E III 132.4,989
Kilchberg,E III 62.4,817
Kilchberg,E III 62.5,32
Andelfingen,E III 8.7,724
Andelfingen,E III 8.1,59
Embrach,E III 36.1,1819
Embrach,E III 36.2,783
Eglisau,E III 32.4,345
Eglisau,E III 32.5,641
Eglisau,E III 32.1,461
Eglisau,E III 32.2,689
Eglisau,E III 32.3,817
Weisslingen,E III 138.1,1574
Weisslingen,E III 138.2,578
Hittnau,E III 54.1,1025
Aadorf,TAI 3.2; StATG Slg. 13.2.0/2,332
Erlenbach,E III 37.1,961
Wülflingen,TAI 1.731; StadtA Winterthur WJB 1,301
Mönchaltorf,E III 77.1,1023
Buch am Irchel,E III 19.1,139
Buch am Irchel,E III 19.3,33
Buch am Irchel,E III 19.2,812
Gossau,E III 44.4,2066
Niederhasli,E III 79.1,394
Pfungen,E III 90.2,495
Stäfa,E III 115.1,550
Bubikon,E III 18.2,198
Thalwil,E III 121.3,830
Bubikon,E III 18.1,383
Niederweningen,E III 80.1,1151
Niederweningen,E III 80.2,506
Oberwinterthur,TAI 1.709.2; StadtA Winterthur OJB 2,1242
Benken,E III 13.2,153
Affoltern am Albis,E III 3.2,894
Affoltern am Albis,E III 3.3,629
Rifferswil,E III 97.1,590
Seebach,TAI 1.879; StadtAZH VIII.C. 183.,347
Uesslingen,TAI 3.42; StATG Slg. 13.2.0/353,398
Hinwil,E III 52.2,1271
Hinwil,E III 52.1,1481
Wipkingen,TAI 1.825; StadtAZH VIII.C. 90.,380
Gachnang,TAI 3.27; StATG Slg. 13.2.0/153,1631
Altikon,E III 6.1,590
Predigern,TAI 1.770 (Teil 2); StadtAZH VIII.C. 36.,2352
Rickenbach,E III 96.1,432
Rickenbach,E III 96.2,317
Kappel am Albis,E III 61.1,759
Schwamendingen-Oerlikon,TAI 1.877 (Teil 1); StadtAZH VIII.C. 181.,372
Stallikon,E III 116.1,183
Stallikon,E III 116.3,1145
Stallikon,E III 116.2,212
Stallikon,E III 116.4,118
