Männervorname,URI
Fridli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00077
Helias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00078
Daniel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00079
Hans Ludwig,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00080
Hans Antoni,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00081
Johannes,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00082
Jonathan,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00083
Hans Bernhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00084
Gabriel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00085
Hans Felix,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00086
Hans Jos,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00087
Matthäus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00088
Simon,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00089
Melchior,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00090
Cornelius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00091
Othmar,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00092
Salomon,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00093
Elias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00094
Wendel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00095
Josias,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00096
Erhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00097
Alexander,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00098
Gallus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00099
Hans Siegfried,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00100
Hans Leonhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00101
Emanuel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00102
Hans Adam,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00103
Junghans,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00104
Franz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00105
Hermann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00106
Adrian,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00107
Kleinhans,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00108
