Kirchgemeinde,URI
Grüningen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Grueningen
Hausen am Albis,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Hausen_am_Albis
Henggart,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Henggart
Herrliberg,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Herrliberg
Hettlingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Hettlingen
Hinwil,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Hinwil
Hirzel,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Hirzel
Hombrechtikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Hombrechtikon
Uitikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Uitikon
Hedingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Hedingen
Horgen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Horgen
Altikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Altikon
Illnau,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Illnau
Kappel am Albis,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Kappel_am_Albis
Kilchberg,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Kilchberg
Kloten,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Kloten
Knonau,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Knonau
Küsnacht,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Kuesnacht
Laufen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Laufen
Lindau,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Lindau
Lufingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Lufingen
Männedorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Maennedorf
Marthalen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Marthalen
Maschwanden,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Maschwanden
Meilen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Meilen
Mettmenstetten,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Mettmenstetten
Mönchaltorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Moenchaltorf
