Nachname,URI
Räbick,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Raebick
Biegler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Biegler
zu Wyden,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_zu_Wyden
Terler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Terler
Kieler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kieler
Nörgel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Noergel
Dollfuss,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Dollfuss
Win...,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Win
Rüttenmeister,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ruettenmeister
Buob,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Buob
Ettensperger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ettensperger
Buol,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Buol
Eggimann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Eggimann
Scharpf,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Scharpf
Schafroth,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schafroth
Riderstein,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Riderstein
Merz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Merz
Rentsch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rentsch
Stiefel,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stiefel
Merk,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Merk
Gonzenbach,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gonzenbach
Mandau,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mandau
Kronburger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kronburger
Hüninger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hueninger
Provasi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Provasi
Tribold,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Tribold
Ryschacher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ryschacher
Wissenmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wissenmann
Kollhofer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kollhofer
Rimpold,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rimpold
Brütsch,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bruetsch
Navin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Navin
Nussbaum,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Nussbaum
Nauer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Nauer
Prinzing,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Prinzing
Sädelegger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Saedelegger
Biechteler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Biechteler
Nüpolt,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Nuepolt
Rouvierrin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rouvierrin
Gysler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gysler
Scheuermeier,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Scheuermeier
Schober,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schober
Taubenmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Taubenmann
Spitteler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spitteler
Gädler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gaedler
