Männervorname,URI
Kleintoni,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Kleintoni
Setbastian,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Setbastian
Johann Kaspar,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Kaspar
Karl Friedrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Karl_Friedrich
Ezechiel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ezechiel
Barthold,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Barthold
Christmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Christmann
Christoph Ulrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Christoph_Ulrich
Damian,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Damian
Johann Melchior,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Melchior
Louis François,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Louis_François
Sylvester,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Sylvester
Ulimann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ulimann
Jakob Hartmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jakob_Hartmann
Crispin,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Crispin
Egolf,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Egolf
Hans Bartholomäus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Bartholomaeus
Daniel Christoph,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Daniel_Christoph
Adolf Karl,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Adolf_Karl
Pankraz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Pankraz
Gorgias,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Gorgias
Sixt,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Sixt
Johann Niklaus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Niklaus
Theodorus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Theodorus
Johann Gebhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Gebhard
Franz Adrian,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Franz_Adrian
Lips,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Lips
Meinrad,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Meinrad
Balthasar,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Balthasar
Francesco,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Francesco
Karl Emanuel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Karl_Emanuel
Charis,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Charis
Hans Ulrich Philipp,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Ulrich_Philipp
Johann Sigmund,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Sigmund
Jesajas,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jesajas
Johann Christoph,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Christoph
Lütti,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Luetti
Grossulrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Grossulrich
Wendel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Wendel
Christoph Bathmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Christoph_Bathmann
Bartholomäus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Bartholomaeus
Isaak,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Isaak
Friedrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Friedrich
Hans Theobald,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Theobald
Christian Gottlieb,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Christian_Gottlieb
Servatius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Servatius
Hans Lienhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Lienhard
Siegfried,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Siegfried
Dale,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Dale
Hug,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hug
Dominikus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Dominikus
August,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_August
Leodegar,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Leodegar
Niklaus Rudolf,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Niklaus_Rudolf
Moritz Niklaus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Moritz_Niklaus
Engelhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Engelhard
Matthäus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Matthaeus
